author;comment;publishedTimeText;pageUrl;title;
@JendelaPayment;Gaji umr naik 6% ppn naik 12%  sama juga bohooooooong, masyrakat kok dikadali;3 months ago;https://www.youtube.com/watch?v=c_K1cuI6Xn4;[FULL] Pengusaha Retail Bahas PPN 12 Persen, Daya Beli Masyarakat Makin Melemah?;
@Diinmarcel;Negara ini gak mengerti dampak kenaikan pajak, subsidi di cabut… Naik nya 1 % seh tapi dampak ke harga barang bisa berlipat lipat naiknya..bisa sampai 20-30% kenaikan langsung ke barang.;3 months ago;https://www.youtube.com/watch?v=c_K1cuI6Xn4;[FULL] Pengusaha Retail Bahas PPN 12 Persen, Daya Beli Masyarakat Makin Melemah?;
@AdiabdaraDara;Hemat pangkal kaya...;4 months ago;https://www.youtube.com/watch?v=c_K1cuI6Xn4;[FULL] Pengusaha Retail Bahas PPN 12 Persen, Daya Beli Masyarakat Makin Melemah?;
@aniani30;Pejabat hartanya sampai trilyunan rakyat Pajak semua baik kalau kalian punya hati rakyat nenagis 😂😂😂.;4 months ago;https://www.youtube.com/watch?v=c_K1cuI6Xn4;[FULL] Pengusaha Retail Bahas PPN 12 Persen, Daya Beli Masyarakat Makin Melemah?;
@nitanovita8441;Yg punya usaha wajib pajak. Yg bertransaksi customer dan supplier adalah wajib pajak. Yg punya modal usaha yah wajib pajak. Yg byr gaji karyawan dan by2 operasional juga wajib pajak. Masih mending wajib pajak mau byr pajak. Masih juga dipaksakan utk naik jadi 12 % Mau ngerampok ? Mau malak? Hidup lagi sulit nih. Jangan sampai wajib pajak nyerah dan tutup usaha. Pemerintah cengeng dan manja, cari dong penerimaan negara bukan majakin masyarakat terus Kejar tuh PNBP. Mau sehatkan APBN tapi bikin sakit ekonomi masyarakat.;4 months ago;https://www.youtube.com/watch?v=c_K1cuI6Xn4;[FULL] Pengusaha Retail Bahas PPN 12 Persen, Daya Beli Masyarakat Makin Melemah?;
@antoniariantoable;ppn 12% itu kalau anda makan di warung sebenarnya naiknya berkali2 lipat, mari kita bedah 1-1: beras dan hasil tani non ppn tapi pupuk non subsidi ppn 12% distribusi dr petani kepasar pasar ke warung: pajak kendaraan,  s.part,  dll 12% bumbu2 dapur dll : ppn 12 % daging dll,,  buat unggas obat,  vit dll semua ppn 12% peralatan dapur. piring,  wajan,  pecah belah: ppn 12% anda makan di warung kena lagi PPN 12% anda bayar double2 ppn ini😂😂😂check saja nanti yg biasa makan 20.000+ppn 11%:  22.200 bukan naik jadi 22.400 tp bisa jadi 24.000-25.000;4 months ago (edited);https://www.youtube.com/watch?v=c_K1cuI6Xn4;[FULL] Pengusaha Retail Bahas PPN 12 Persen, Daya Beli Masyarakat Makin Melemah?;
@hendrapsgi;Kan asa sumber daya alam melimpah knp pmerintah tdk bs mengolah sndri untuk kpentingan rakyar;4 months ago;https://www.youtube.com/watch?v=c_K1cuI6Xn4;[FULL] Pengusaha Retail Bahas PPN 12 Persen, Daya Beli Masyarakat Makin Melemah?;
@AswarGampua;Buset pajak mau naik lagi;4 months ago;https://www.youtube.com/watch?v=c_K1cuI6Xn4;[FULL] Pengusaha Retail Bahas PPN 12 Persen, Daya Beli Masyarakat Makin Melemah?;
@fredywijaya9403;PAJAK TIKTOK,SHOPI dll YG HARUSNYA NAIK krna tlah merampok menjajah membunuh perekonomian para perdagang pasar/offline di seluruh nusantara;4 months ago;https://www.youtube.com/watch?v=c_K1cuI6Xn4;[FULL] Pengusaha Retail Bahas PPN 12 Persen, Daya Beli Masyarakat Makin Melemah?;
@budisupriyadi2356;22 / 11 / 2024 , 23 : 12 . Kisi Kisi : Mewakili Seluruh Warga  Negara Indonesia . Untuk Kalian Mahasiswa , Hingga Kelompok Para Pendemo . Yang Dekat Ke ,   Istana Negara . Demo Lagi ,  Pak Prabowo . Meneliti Hingga Menemukan ,  Tokoh Utama . Yang Biasa Foya Foya ,  Di Penerintahan Agar ,  Di Pecat Secara Tidak Hormat . Dan Jabatanya ,  Do Over Alih . Pada Calon Pemimpin Yang Baru , & Pro Rakyat . Dan Anti OLIGARKI : Yang Setuju , Dengan Pendapat Saya . Boleh Like , Yang Bisa Berdemo Demolah . Jangan Tunggu , Nanti Nanti Lagi .;4 months ago;https://www.youtube.com/watch?v=c_K1cuI6Xn4;[FULL] Pengusaha Retail Bahas PPN 12 Persen, Daya Beli Masyarakat Makin Melemah?;
@josandi3033;Rakyat seng mbayarin psjsk beepuluh2 tshun prezidene seng ngramlpok yo kwi dajal jokowir wowo samsul;4 months ago;https://www.youtube.com/watch?v=c_K1cuI6Xn4;[FULL] Pengusaha Retail Bahas PPN 12 Persen, Daya Beli Masyarakat Makin Melemah?;
@ramlyabdrahim5002;Negara semakin kaya hasil dari pajak. Bisa beli alusista terbaru.;4 months ago;https://www.youtube.com/watch?v=c_K1cuI6Xn4;[FULL] Pengusaha Retail Bahas PPN 12 Persen, Daya Beli Masyarakat Makin Melemah?;
@jehadudjami4287;Betul Bangat kami lagi sangat susah.....Pa;4 months ago;https://www.youtube.com/watch?v=c_K1cuI6Xn4;[FULL] Pengusaha Retail Bahas PPN 12 Persen, Daya Beli Masyarakat Makin Melemah?;
@Abdurrohim-em5sw;Pemerintah.  Tidak. Mau denger. Teriakan. Rakyat.  Hanya. Mikirin. Egonya aja. Tidak. Peduli. HanyA. Mikin. Bansos. Untuk.  Keuntungan. Pribadi. Dan. Keluarga;4 months ago;https://www.youtube.com/watch?v=c_K1cuI6Xn4;[FULL] Pengusaha Retail Bahas PPN 12 Persen, Daya Beli Masyarakat Makin Melemah?;
@felixalice9158;Setiap pergantian pemimpin pasti ada ples mines...rakyat kecil ttp jadi korbannya krn mereka pata pejabat pasti meminta kenaikan gaji jika semua brg kebutuhan pokok ppn mya naok;4 months ago;https://www.youtube.com/watch?v=c_K1cuI6Xn4;[FULL] Pengusaha Retail Bahas PPN 12 Persen, Daya Beli Masyarakat Makin Melemah?;
@felixalice9158;Nggak usah membeli barang yg tdk penting dan tdk emergensi;4 months ago;https://www.youtube.com/watch?v=c_K1cuI6Xn4;[FULL] Pengusaha Retail Bahas PPN 12 Persen, Daya Beli Masyarakat Makin Melemah?;
@TaekwonPong-zd1kx;Cara mudah merampok rakyat;4 months ago;https://www.youtube.com/watch?v=c_K1cuI6Xn4;[FULL] Pengusaha Retail Bahas PPN 12 Persen, Daya Beli Masyarakat Makin Melemah?;
@erhandisatria705;Malakin Rakyat dengan Pajak itu Gaya Penjajah Tempo dulu, di Asean gaji terendah tapi dipaksa dgn pajak tertinggi 12 %, aneh dan Dzolim sekali, sementara di Pemerintahan KORUPSI  Merajalela smp ratusan & Ribuan Trilyun, Tapi yg jadi korban sengsara ditekan Rakyatnya.., kegagalan mereka mengelola negara dibebankan kpd rakyatnya semua... 🤣🤣😂😂😛😛;3 months ago;https://www.youtube.com/watch?v=Ri-Au0qACU0;Ramai Tolak PPN 12 Persen, Ekonomi Rakyat Babak Belur | B-TALK;
